Type,Description,Incident #,Location,Agency,Date,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030331,100 BLOCK DELAWARE AVE,Newark Police,9/4/22 2:04,,
,BURGLARY/FORCED ENTRY/RESIDENCE,3122030318,400 BLOCK TERRACE DR,Newark Police,9/3/22 23:11,,
,POSSESSION OF AN OPEN CONTAINER,3122030289,LOVETT AVE & BENNY ST,Newark Police,9/3/22 17:54,,
,POSSESSION OF AN OPEN CONTAINER,3122030287,100 BLOCK CLEVELAND AVE,Newark Police,9/3/22 17:22,,
,POSSESSION OF AN OPEN CONTAINER,3122030286,100 BLOCK W E. CLEVELAND,Newark Police,9/3/22 17:18,,
,LIQUOR/UNDERAGE POSSESSION,3122030284,000 BLOCK W CLEVELAND AVE,Newark Police,9/3/22 17:08,,
,POSSESSION OF AN OPEN CONTAINER,3122030275,100 BLOCK CLEVELAND AVE,Newark Police,9/3/22 16:51,,
,LIQUOR/UNDERAGE POSSESSION,3122030279,BENNY S ST & LOVETT AVE,Newark Police,9/3/22 16:38,,
,POSSESSION OF AN OPEN CONTAINER,3122030273,400 BLOCK W E. CLEVELAND AVE,Newark Police,9/3/22 16:01,,
,POSSESSION OF AN OPEN CONTAINER,3122030264,000 BLOCK BENNY ST,Newark Police,9/3/22 14:54,,
,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED,3122030257,400 BLOCK COLLEGE AVE,Newark Police,9/3/22 13:25,,
,URINATE OR DEFECATE IN PUBLIC,3122030213,200 BLOCK SW MAIN ST,Newark Police,9/3/22 1:56,,
,DISORDERLY CONDUCT/LIQUOR INVOLVEMENT,3922008663,200 BLOCK THE GREEN,University of Delaware Police,9/3/22 1:44,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030211,000 BLOCK CENTER ST,Newark Police,9/3/22 1:11,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030205,700 BLOCK S WOLLASTON AVE,Newark Police,9/3/22 0:47,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030199,300 BLOCK S MANUEL ST,Newark Police,9/2/22 23:57,,
,POSSESSION OF AN OPEN CONTAINER,3122030194,HAINES S ST & DELAWARE AVE,Newark Police,9/2/22 22:52,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030190,200 BLOCK VETERANS DR,Newark Police,9/2/22 22:17,,
,POSSESSION OF AN OPEN CONTAINER,3122030092,100 BLOCK S S. CHAPEL ST,Newark Police,9/2/22 0:30,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122030090,000 BLOCK BENNY ST,Newark Police,9/2/22 0:03,,
,POSSESSION OF AN OPEN CONTAINER,3122030088,CHAPEL S DR & LOVETT AVE,Newark Police,9/2/22 0:01,,
,POSSESSION OF WEAPON,3122030087,E. CLEVELAND W AVE & WILBUR ST,Newark Police,9/1/22 23:44,,
,POSSESSION OF AN OPEN CONTAINER,3122030077,BENNY N ST & CHAMBERS ST,Newark Police,9/1/22 22:56,,
,LIQUOR/FREE TEXT,3122030057,200 BLOCK MAIN ST,Newark Police,9/1/22 19:54,,
,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI,3122030003,COLLEGE AVE,Newark Police,9/1/22 10:05,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122029945,100 BLOCK W E. PARK PL,Newark Police,8/31/22 23:24,,
,LARCENY/BICYCLES,3122029836,300 BLOCK COLLEGE AVE,Newark Police,8/31/22 0:15,,
